,State,County,Temperature,Precipitation
480,Georgia,Screven County,65,54.7
481,Georgia,Seminole County,67,69.7
482,Georgia,Spalding County,63,48.8
483,Georgia,Stephens County,61,59.6
484,Georgia,Stewart County,64,59.2
485,Georgia,Sumter County,65,57.5
486,Georgia,Talbot County,63,56.6
487,Georgia,Taliaferro County,63,50.0
488,Georgia,Tattnall County,66,60.8
489,Georgia,Taylor County,64,55.5
490,Georgia,Telfair County,65,63.3
491,Georgia,Terrell County,66,59.6
492,Georgia,Thomas County,66,69.8
493,Georgia,Tift County,65,65.9
494,Georgia,Toombs County,66,63.0
495,Georgia,Towns County,56,68.7
496,Georgia,Treutlen County,65,63.9
497,Georgia,Troup County,62,56.0
498,Georgia,Turner County,65,56.4
499,Georgia,Twiggs County,65,54.6
500,Georgia,Union County,56,68.7
501,Georgia,Upson County,63,53.0
502,Georgia,Walker County,60,64.5
503,Georgia,Walton County,62,52.8
504,Georgia,Ware County,67,55.5
505,Georgia,Warren County,63,50.1
506,Georgia,Washington County,64,49.7
507,Georgia,Wayne County,66,57.5
508,Georgia,Webster County,64,59.8
509,Georgia,Wheeler County,65,66.3
510,Georgia,White County,58,71.6
511,Georgia,Whitfield County,60,65.3
512,Georgia,Wilcox County,65,56.1
513,Georgia,Wilkes County,63,50.7
514,Georgia,Wilkinson County,64,52.2
515,Georgia,Worth County,65,57.6
516,Idaho,Ada County,53,12.3
517,Idaho,Adams County,44,25.4
518,Idaho,Bannock County,46,15.6
519,Idaho,Bear Lake County,41,20.4
520,Idaho,Benewah County,47,21.0
521,Idaho,Bingham County,45,12.0
522,Idaho,Blaine County,43,14.0
523,Idaho,Boise County,45,26.0
524,Idaho,Bonner County,45,28.5
525,Idaho,Bonneville County,43,20.7
526,Idaho,Boundary County,43,31.2
527,Idaho,Butte County,42,9.9
528,Idaho,Camas County,43,19.5
529,Idaho,Canyon County,53,8.9
530,Idaho,Caribou County,43,21.2
531,Idaho,Cassia County,47,12.5
532,Idaho,Clark County,41,13.6
533,Idaho,Clearwater County,45,34.5
534,Idaho,Custer County,39,17.3
535,Idaho,Elmore County,49,18.0
536,Idaho,Franklin County,45,19.1
537,Idaho,Fremont County,40,18.4
538,Idaho,Gem County,50,17.5
539,Idaho,Gooding County,51,9.0
540,Idaho,Idaho County,43,29.6
541,Idaho,Jefferson County,44,8.4
542,Idaho,Jerome County,51,7.5
543,Idaho,Kootenai County,47,24.3
544,Idaho,Latah County,48,24.3
545,Idaho,Lemhi County,41,15.8
546,Idaho,Lewis County,47,17.6
547,Idaho,Lincoln County,49,7.4
548,Idaho,Madison County,43,14.2
549,Idaho,Minidoka County,48,7.7
550,Idaho,Nez Perce County,50,15.5
551,Idaho,Oneida County,47,14.4
552,Idaho,Owyhee County,49,10.3
553,Idaho,Payette County,53,11.4
554,Idaho,Power County,47,13.0
555,Idaho,Shoshone County,44,38.3
556,Idaho,Teton County,41,23.6
557,Idaho,Twin Falls County,49,9.6
558,Idaho,Valley County,40,26.7
559,Idaho,Washington County,49,18.3
560,Illinois,Adams County,53,47.5
561,Illinois,Alexander County,58,44.4
562,Illinois,Bond County,55,42.7
563,Illinois,Boone County,50,27.0
564,Illinois,Brown County,53,47.9
565,Illinois,Bureau County,51,37.4
566,Illinois,Calhoun County,55,46.1
567,Illinois,Carroll County,50,30.5
568,Illinois,Cass County,53,46.2
569,Illinois,Champaign County,53,45.4
570,Illinois,Christian County,54,48.4
571,Illinois,Clark County,54,47.7
572,Illinois,Clay County,55,51.2
573,Illinois,Clinton County,56,42.0
574,Illinois,Coles County,54,49.7
575,Illinois,Cook County,52,31.7
576,Illinois,Crawford County,55,46.3
577,Illinois,Cumberland County,54,50.5
578,Illinois,DeKalb County,50,29.8
579,Illinois,De Witt County,53,42.7
580,Illinois,Douglas County,54,45.3
581,Illinois,DuPage County,51,31.6
582,Illinois,Edgar County,53,46.1
583,Illinois,Edwards County,56,48.9
584,Illinois,Effingham County,54,49.1
585,Illinois,Fayette County,55,47.4
586,Illinois,Ford County,52,47.0
587,Illinois,Franklin County,56,49.6
588,Illinois,Fulton County,53,44.9
589,Illinois,Gallatin County,57,42.6
590,Illinois,Greene County,54,47.2
591,Illinois,Grundy County,52,36.6
592,Illinois,Hamilton County,56,47.2
593,Illinois,Hancock County,53,44.2
594,Illinois,Hardin County,57,45.1
595,Illinois,Henderson County,52,42.0
596,Illinois,Henry County,51,42.5
597,Illinois,Iroquois County,52,43.1
598,Illinois,Jackson County,57,48.1
599,Illinois,Jasper County,55,49.1
600,Illinois,Jefferson County,56,48.0
601,Illinois,Jersey County,55,42.6
602,Illinois,Jo Daviess County,49,30.2
603,Illinois,Johnson County,57,45.0
604,Illinois,Kane County,50,30.1
605,Illinois,Kankakee County,52,37.0
606,Illinois,Kendall County,51,33.2
607,Illinois,Knox County,51,45.9
608,Illinois,Lake County,51,26.2
609,Illinois,LaSalle County,51,35.2
610,Illinois,Lawrence County,56,49.4
611,Illinois,Lee County,50,31.7
612,Illinois,Livingston County,52,42.1
613,Illinois,Logan County,53,42.9
614,Illinois,McDonough County,52,44.5
615,Illinois,McHenry County,50,27.0
616,Illinois,McLean County,52,44.0
617,Illinois,Macon County,53,43.4
618,Illinois,Macoupin County,54,43.0
619,Illinois,Madison County,55,42.2
620,Illinois,Marion County,55,49.0
621,Illinois,Marshall County,52,40.7
622,Illinois,Mason County,53,45.0
623,Illinois,Massac County,58,47.2
624,Illinois,Menard County,53,45.2
625,Illinois,Mercer County,51,40.8
626,Illinois,Monroe County,57,40.1
627,Illinois,Montgomery County,54,44.1
628,Illinois,Morgan County,53,47.7
629,Illinois,Moultrie County,53,46.4
630,Illinois,Ogle County,50,27.5
631,Illinois,Peoria County,53,45.1
632,Illinois,Perry County,56,47.7
633,Illinois,Piatt County,53,44.6
634,Illinois,Pike County,54,47.9
635,Illinois,Pope County,57,47.2
636,Illinois,Pulaski County,58,43.1
637,Illinois,Putnam County,52,38.3
638,Illinois,Randolph County,56,45.2
639,Illinois,Richland County,56,49.5
640,Illinois,Rock Island County,51,36.4
641,Illinois,St. Clair County,56,38.3
642,Illinois,Saline County,56,45.0
643,Illinois,Sangamon County,53,46.7
644,Illinois,Schuyler County,53,46.6
645,Illinois,Scott County,54,47.6
646,Illinois,Shelby County,54,49.9
647,Illinois,Stark County,51,45.7
648,Illinois,Stephenson County,49,29.1
649,Illinois,Tazewell County,53,43.1
650,Illinois,Union County,57,45.5
651,Illinois,Vermilion County,52,46.4
652,Illinois,Wabash County,56,48.8
653,Illinois,Warren County,52,42.7
654,Illinois,Washington County,56,44.1
655,Illinois,Wayne County,56,48.9
656,Illinois,White County,56,45.2
657,Illinois,Whiteside County,51,31.8
658,Illinois,Will County,52,36.6
659,Illinois,Williamson County,56,48.9
660,Illinois,Winnebago County,50,26.0
661,Illinois,Woodford County,52,41.0
662,Indiana,Adams County,52,40.0
663,Indiana,Allen County,52,42.1
664,Indiana,Bartholomew County,54,50.0
665,Indiana,Benton County,52,42.2
666,Indiana,Blackford County,53,38.2
667,Indiana,Boone County,52,42.3
668,Indiana,Brown County,53,48.9
669,Indiana,Carroll County,52,42.4
670,Indiana,Cass County,52,43.0
671,Indiana,Clark County,56,52.1
672,Indiana,Clay County,54,44.6
673,Indiana,Clinton County,52,43.9
674,Indiana,Crawford County,55,52.1
675,Indiana,Daviess County,55,44.5
676,Indiana,Dearborn County,54,47.2
677,Indiana,Decatur County,54,47.8
678,Indiana,DeKalb County,51,42.5
679,Indiana,Delaware County,53,40.4
680,Indiana,Dubois County,55,50.0
681,Indiana,Elkhart County,51,39.2
682,Indiana,Fayette County,53,46.2
683,Indiana,Floyd County,56,52.0
684,Indiana,Fountain County,52,45.3
685,Indiana,Franklin County,53,45.4
686,Indiana,Fulton County,51,44.2
687,Indiana,Gibson County,56,46.0
688,Indiana,Grant County,52,41.5
689,Indiana,Greene County,54,45.9
690,Indiana,Hamilton County,53,44.0
691,Indiana,Hancock County,53,44.8
692,Indiana,Harrison County,56,52.6
693,Indiana,Hendricks County,53,45.7
694,Indiana,Henry County,52,43.0
695,Indiana,Howard County,52,43.7
696,Indiana,Huntington County,52,41.3
697,Indiana,Jackson County,54,48.8
698,Indiana,Jasper County,52,41.1
699,Indiana,Jay County,52,38.8
700,Indiana,Jefferson County,55,50.3
701,Indiana,Jennings County,54,47.2
702,Indiana,Johnson County,53,48.7
703,Indiana,Knox County,56,45.6
704,Indiana,Kosciusko County,51,41.6
705,Indiana,LaGrange County,51,39.5
706,Indiana,Lake County,51,38.0
707,Indiana,LaPorte County,51,39.2
708,Indiana,Lawrence County,54,48.7
709,Indiana,Madison County,53,44.1
710,Indiana,Marion County,53,46.2
711,Indiana,Marshall County,51,43.8
712,Indiana,Martin County,55,49.1
713,Indiana,Miami County,52,42.4
714,Indiana,Monroe County,53,47.0
715,Indiana,Montgomery County,52,41.5
716,Indiana,Morgan County,53,48.9
717,Indiana,Newton County,52,42.0
718,Indiana,Noble County,51,40.4
719,Indiana,Ohio County,55,49.5
720,Indiana,Orange County,55,52.0
721,Indiana,Owen County,54,48.3
722,Indiana,Parke County,53,42.4
723,Indiana,Perry County,55,49.4
724,Indiana,Pike County,56,44.9
725,Indiana,Porter County,51,38.1
726,Indiana,Posey County,57,41.1
727,Indiana,Pulaski County,51,42.8
728,Indiana,Putnam County,53,44.8
729,Indiana,Randolph County,52,40.2
730,Indiana,Ripley County,54,47.0
731,Indiana,Rush County,53,46.3
732,Indiana,St. Joseph County,51,40.0
733,Indiana,Scott County,55,50.0
734,Indiana,Shelby County,53,48.1
735,Indiana,Spencer County,56,45.8
736,Indiana,Starke County,51,43.6
737,Indiana,Steuben County,50,41.7
738,Indiana,Sullivan County,55,44.7
739,Indiana,Switzerland County,55,49.7
740,Indiana,Tippecanoe County,52,43.9
741,Indiana,Tipton County,52,45.5
