,State,County,Temperature,Precipitation,Avg Condition,Target,Nitrogen,Phosphorus,Potasium,pH,Humidity
87,Arkansas,Bradley County,17,387.25,202.125,rice,97.0,59.0,43.0,84.0,6.3
88,Arkansas,Calhoun County,17,395.0,206.0,rice,97.0,59.0,43.0,84.0,6.3
89,Arkansas,Carroll County,14,310.5,162.25,coconut,40.0,22.0,29.0,100.0,5.7
90,Arkansas,Chicot County,18,403.25,210.625,rice,97.0,59.0,43.0,84.0,6.3
91,Arkansas,Clark County,16,334.75,175.375,coconut,40.0,22.0,29.0,100.0,5.7
92,Arkansas,Clay County,15,315.5,165.25,coconut,40.0,22.0,29.0,100.0,5.7
93,Arkansas,Cleburne County,15,304.25,159.625,coconut,40.0,22.0,29.0,100.0,5.7
94,Arkansas,Cleveland County,17,372.0,194.5,rice,97.0,59.0,43.0,84.0,6.3
95,Arkansas,Columbia County,17,357.5,187.25,rice,97.0,59.0,43.0,84.0,6.3
96,Arkansas,Conway County,16,300.25,158.125,coconut,40.0,22.0,29.0,100.0,5.7
97,Arkansas,Craighead County,16,300.25,158.125,coconut,40.0,22.0,29.0,100.0,5.7
98,Arkansas,Crawford County,16,312.5,164.25,coconut,40.0,22.0,29.0,100.0,5.7
99,Arkansas,Crittenden County,17,330.25,173.625,coconut,40.0,22.0,29.0,100.0,5.7
100,Arkansas,Cross County,16,317.5,166.75,coconut,40.0,22.0,29.0,100.0,5.7
101,Arkansas,Dallas County,16,354.25,185.125,rice,97.0,59.0,43.0,84.0,6.3
102,Arkansas,Desha County,17,400.0,208.5,rice,97.0,59.0,43.0,84.0,6.3
103,Arkansas,Drew County,17,393.0,205.0,rice,97.0,59.0,43.0,84.0,6.3
104,Arkansas,Faulkner County,16,308.5,162.25,coconut,40.0,22.0,29.0,100.0,5.7
105,Arkansas,Franklin County,15,324.5,169.75,coconut,40.0,22.0,29.0,100.0,5.7
106,Arkansas,Fulton County,14,292.0,153.0,coconut,40.0,22.0,29.0,100.0,5.7
107,Arkansas,Garland County,16,317.5,166.75,coconut,40.0,22.0,29.0,100.0,5.7
108,Arkansas,Grant County,16,324.5,170.25,coconut,40.0,22.0,29.0,100.0,5.7
109,Arkansas,Greene County,15,307.25,161.125,coconut,40.0,22.0,29.0,100.0,5.7
110,Arkansas,Hempstead County,17,348.0,182.5,coffee,91.0,21.0,26.0,57.4,7.3
111,Arkansas,Hot Spring County,16,312.5,164.25,coconut,40.0,22.0,29.0,100.0,5.7
112,Arkansas,Howard County,16,359.5,187.75,rice,97.0,59.0,43.0,84.0,6.3
113,Arkansas,Independence County,15,290.25,152.625,coconut,40.0,22.0,29.0,100.0,5.7
114,Arkansas,Izard County,14,282.5,148.25,coconut,40.0,22.0,29.0,100.0,5.7
115,Arkansas,Jackson County,15,300.25,157.625,coconut,40.0,22.0,29.0,100.0,5.7
116,Arkansas,Jefferson County,17,331.5,174.25,coconut,40.0,22.0,29.0,100.0,5.7
117,Arkansas,Johnson County,15,327.0,171.0,coconut,40.0,22.0,29.0,100.0,5.7
118,Arkansas,Lafayette County,17,364.5,190.75,rice,97.0,59.0,43.0,84.0,6.3
119,Arkansas,Lawrence County,15,282.5,148.75,coconut,40.0,22.0,29.0,100.0,5.7
120,Arkansas,Lee County,17,376.0,196.5,rice,97.0,59.0,43.0,84.0,6.3
121,Arkansas,Lincoln County,17,387.25,202.125,rice,97.0,59.0,43.0,84.0,6.3
122,Arkansas,Little River County,17,341.75,179.375,coffee,91.0,21.0,26.0,57.4,7.3
123,Arkansas,Logan County,16,292.0,154.0,coconut,40.0,22.0,29.0,100.0,5.7
124,Arkansas,Lonoke County,16,312.5,164.25,coconut,40.0,22.0,29.0,100.0,5.7
125,Arkansas,Madison County,14,313.0,163.5,coconut,40.0,22.0,29.0,100.0,5.7
126,Arkansas,Marion County,14,302.25,158.125,coconut,40.0,22.0,29.0,100.0,5.7
127,Arkansas,Miller County,17,350.0,183.5,coffee,91.0,21.0,26.0,57.4,7.3
128,Arkansas,Mississippi County,16,297.75,156.875,coconut,40.0,22.0,29.0,100.0,5.7
129,Arkansas,Monroe County,17,335.25,176.125,coffee,91.0,21.0,26.0,57.4,7.3
130,Arkansas,Montgomery County,16,346.75,181.375,coffee,91.0,21.0,26.0,57.4,7.3
131,Arkansas,Nevada County,16,342.25,179.125,coffee,91.0,21.0,26.0,57.4,7.3
132,Arkansas,Newton County,13,313.0,163.0,coconut,40.0,22.0,29.0,100.0,5.7
133,Arkansas,Ouachita County,17,374.0,195.5,rice,97.0,59.0,43.0,84.0,6.3
134,Arkansas,Perry County,16,285.75,150.875,coconut,40.0,22.0,29.0,100.0,5.7
135,Arkansas,Phillips County,17,362.0,189.5,rice,97.0,59.0,43.0,84.0,6.3
136,Arkansas,Pike County,16,372.0,194.0,rice,97.0,59.0,43.0,84.0,6.3
137,Arkansas,Poinsett County,16,303.0,159.5,coconut,40.0,22.0,29.0,100.0,5.7
138,Arkansas,Polk County,15,360.0,187.5,rice,97.0,59.0,43.0,84.0,6.3
139,Arkansas,Pope County,15,312.5,163.75,coconut,40.0,22.0,29.0,100.0,5.7
140,Arkansas,Prairie County,17,308.0,162.5,coconut,40.0,22.0,29.0,100.0,5.7
141,Arkansas,Pulaski County,16,304.75,160.375,coconut,40.0,22.0,29.0,100.0,5.7
142,Arkansas,Randolph County,15,280.0,147.5,coconut,40.0,22.0,29.0,100.0,5.7
143,Arkansas,St. Francis County,16,343.0,179.5,coffee,91.0,21.0,26.0,57.4,7.3
144,Arkansas,Saline County,16,311.25,163.625,coconut,40.0,22.0,29.0,100.0,5.7
145,Arkansas,Scott County,16,317.5,166.75,coconut,40.0,22.0,29.0,100.0,5.7
146,Arkansas,Searcy County,14,311.75,162.875,coconut,40.0,22.0,29.0,100.0,5.7
147,Arkansas,Sebastian County,16,330.25,173.125,coconut,40.0,22.0,29.0,100.0,5.7
148,Arkansas,Sevier County,17,362.0,189.5,rice,97.0,59.0,43.0,84.0,6.3
149,Arkansas,Sharp County,14,296.5,155.25,coconut,40.0,22.0,29.0,100.0,5.7
150,Arkansas,Stone County,14,296.5,155.25,coconut,40.0,22.0,29.0,100.0,5.7
151,Arkansas,Union County,17,377.75,197.375,rice,97.0,59.0,43.0,84.0,6.3
152,Arkansas,Van Buren County,14,318.75,166.375,coconut,40.0,22.0,29.0,100.0,5.7
153,Arkansas,Washington County,14,298.5,156.25,coconut,40.0,22.0,29.0,100.0,5.7
154,Arkansas,White County,16,307.25,161.625,coconut,40.0,22.0,29.0,100.0,5.7
155,Arkansas,Woodruff County,16,291.5,153.75,coconut,40.0,22.0,29.0,100.0,5.7
156,Arkansas,Yell County,16,280.75,148.375,coconut,40.0,22.0,29.0,100.0,5.7
157,California,Alameda County,16,80.0,48.0,apple,33.0,143.0,204.0,92.0,5.8
158,California,Alpine County,8,190.5,99.25,apple,33.0,143.0,204.0,92.0,5.8
159,California,Amador County,16,165.0,90.5,apple,33.0,143.0,204.0,92.0,5.8
160,California,Butte County,16,191.75,103.875,apple,33.0,143.0,204.0,92.0,5.8
161,California,Calaveras County,16,149.75,82.875,apple,33.0,143.0,204.0,92.0,5.8
162,California,Colusa County,18,85.75,51.875,apple,33.0,143.0,204.0,92.0,5.8
163,California,Contra Costa County,16,69.75,42.875,apple,33.0,143.0,204.0,92.0,5.8
164,California,Del Norte County,12,463.5,237.75,,,,,,
165,California,El Dorado County,13,220.25,116.625,apple,33.0,143.0,204.0,92.0,5.8
166,California,Fresno County,14,71.0,42.5,apple,33.0,143.0,204.0,92.0,5.8
167,California,Glenn County,17,90.75,53.875,apple,33.0,143.0,204.0,92.0,5.8
168,California,Humboldt County,13,297.75,155.375,coconut,40.0,22.0,29.0,100.0,5.7
169,California,Imperial County,24,13.25,18.625,apple,33.0,143.0,204.0,92.0,5.8
170,California,Inyo County,17,19.0,18.0,apple,33.0,143.0,204.0,92.0,5.8
171,California,Kern County,17,27.25,22.125,apple,33.0,143.0,204.0,92.0,5.8
172,California,Kings County,18,29.75,23.875,apple,33.0,143.0,204.0,92.0,5.8
173,California,Lake County,15,181.5,98.25,apple,33.0,143.0,204.0,92.0,5.8
174,California,Lassen County,9,99.0,54.0,apple,33.0,143.0,204.0,92.0,5.8
175,California,Los Angeles County,17,35.5,26.25,apple,33.0,143.0,204.0,92.0,5.8
176,California,Madera County,14,83.75,48.875,apple,33.0,143.0,204.0,92.0,5.8
177,California,Marin County,14,134.5,74.25,apple,33.0,143.0,204.0,92.0,5.8
178,California,Mariposa County,14,120.0,67.0,apple,33.0,143.0,204.0,92.0,5.8
179,California,Mendocino County,14,223.0,118.5,apple,33.0,143.0,204.0,92.0,5.8
180,California,Merced County,17,50.25,33.625,apple,33.0,143.0,204.0,92.0,5.8
181,California,Modoc County,9,87.75,48.375,apple,33.0,143.0,204.0,92.0,5.8
182,California,Mono County,8,76.25,42.125,apple,33.0,143.0,204.0,92.0,5.8
183,California,Monterey County,15,89.5,52.25,apple,33.0,143.0,204.0,92.0,5.8
184,California,Napa County,16,129.0,72.5,apple,33.0,143.0,204.0,92.0,5.8
185,California,Nevada County,12,249.5,130.75,apple,33.0,143.0,204.0,92.0,5.8
186,California,Orange County,18,36.75,27.375,apple,33.0,143.0,204.0,92.0,5.8
187,California,Placer County,13,224.75,118.875,apple,33.0,143.0,204.0,92.0,5.8
188,California,Plumas County,9,196.75,102.875,apple,33.0,143.0,204.0,92.0,5.8
189,California,Riverside County,21,25.5,23.25,apple,33.0,143.0,204.0,92.0,5.8
190,California,Sacramento County,17,80.75,48.875,apple,33.0,143.0,204.0,92.0,5.8
191,California,San Benito County,16,70.5,43.25,apple,33.0,143.0,204.0,92.0,5.8
192,California,San Bernardino County,19,19.0,19.0,apple,33.0,143.0,204.0,92.0,5.8
193,California,San Diego County,17,57.25,37.125,apple,33.0,143.0,204.0,92.0,5.8
194,California,San Francisco County,14,103.5,58.75,apple,33.0,143.0,204.0,92.0,5.8
195,California,San Joaquin County,17,67.25,42.125,apple,33.0,143.0,204.0,92.0,5.8
196,California,San Luis Obispo County,16,69.75,42.875,apple,33.0,143.0,204.0,92.0,5.8
197,California,San Mateo County,14,109.75,61.875,apple,33.0,143.0,204.0,92.0,5.8
198,California,Santa Barbara County,15,68.0,41.5,apple,33.0,143.0,204.0,92.0,5.8
199,California,Santa Clara County,15,98.5,56.75,apple,33.0,143.0,204.0,92.0,5.8
200,California,Santa Cruz County,14,137.75,75.875,apple,33.0,143.0,204.0,92.0,5.8
201,California,Shasta County,14,171.5,92.75,apple,33.0,143.0,204.0,92.0,5.8
202,California,Sierra County,9,222.25,115.625,apple,33.0,143.0,204.0,92.0,5.8
203,California,Siskiyou County,10,182.25,96.125,apple,33.0,143.0,204.0,92.0,5.8
204,California,Solano County,17,81.25,49.125,apple,33.0,143.0,204.0,92.0,5.8
205,California,Sonoma County,14,174.5,94.25,apple,33.0,143.0,204.0,92.0,5.8
206,California,Stanislaus County,17,65.5,41.25,apple,33.0,143.0,204.0,92.0,5.8
207,California,Sutter County,18,80.0,49.0,apple,33.0,143.0,204.0,92.0,5.8
208,California,Tehama County,16,149.75,82.875,apple,33.0,143.0,204.0,92.0,5.8
209,California,Trinity County,12,244.5,128.25,apple,33.0,143.0,204.0,92.0,5.8
210,California,Tulare County,13,68.5,40.75,apple,33.0,143.0,204.0,92.0,5.8
211,California,Tuolumne County,11,184.25,97.625,apple,33.0,143.0,204.0,92.0,5.8
212,California,Ventura County,15,42.5,28.75,apple,33.0,143.0,204.0,92.0,5.8
213,California,Yolo County,17,82.0,49.5,apple,33.0,143.0,204.0,92.0,5.8
214,California,Yuba County,17,174.0,95.5,apple,33.0,143.0,204.0,92.0,5.8
215,Colorado,Adams County,10,95.25,52.625,apple,33.0,143.0,204.0,92.0,5.8
216,Colorado,Alamosa County,7,60.25,33.625,apple,33.0,143.0,204.0,92.0,5.8
217,Colorado,Arapahoe County,10,101.0,55.5,apple,33.0,143.0,204.0,92.0,5.8
218,Colorado,Archuleta County,7,126.25,66.625,apple,33.0,143.0,204.0,92.0,5.8
219,Colorado,Baca County,12,97.25,54.625,apple,33.0,143.0,204.0,92.0,5.8
220,Colorado,Bent County,12,87.0,49.5,apple,33.0,143.0,204.0,92.0,5.8
221,Colorado,Boulder County,7,130.25,68.625,apple,33.0,143.0,204.0,92.0,5.8
222,Colorado,Broomfield County,11,101.0,56.0,apple,33.0,143.0,204.0,92.0,5.8
223,Colorado,Chaffee County,3,113.0,58.0,apple,33.0,143.0,204.0,92.0,5.8
224,Colorado,Cheyenne County,11,90.75,50.875,apple,33.0,143.0,204.0,92.0,5.8
225,Colorado,Clear Creek County,3,163.75,83.375,apple,33.0,143.0,204.0,92.0,5.8
226,Colorado,Conejos County,5,103.5,54.25,apple,33.0,143.0,204.0,92.0,5.8
227,Colorado,Costilla County,6,104.75,55.375,apple,33.0,143.0,204.0,92.0,5.8
228,Colorado,Crowley County,11,82.5,46.75,apple,33.0,143.0,204.0,92.0,5.8
229,Colorado,Custer County,6,124.5,65.25,apple,33.0,143.0,204.0,92.0,5.8
230,Colorado,Delta County,9,102.25,55.625,apple,33.0,143.0,204.0,92.0,5.8
231,Colorado,Denver County,11,94.0,52.5,apple,33.0,143.0,204.0,92.0,5.8
232,Colorado,Dolores County,7,125.0,66.0,apple,33.0,143.0,204.0,92.0,5.8
233,Colorado,Douglas County,8,113.0,60.5,apple,33.0,143.0,204.0,92.0,5.8
234,Colorado,Eagle County,4,127.0,65.5,apple,33.0,143.0,204.0,92.0,5.8
235,Colorado,Elbert County,9,105.5,57.25,apple,33.0,143.0,204.0,92.0,5.8
236,Colorado,El Paso County,9,106.75,57.875,apple,33.0,143.0,204.0,92.0,5.8
237,Colorado,Fremont County,7,94.5,50.75,apple,33.0,143.0,204.0,92.0,5.8
238,Colorado,Garfield County,7,116.25,61.625,apple,33.0,143.0,204.0,92.0,5.8
239,Colorado,Gilpin County,4,148.0,76.0,apple,33.0,143.0,204.0,92.0,5.8
240,Colorado,Grand County,3,125.0,64.0,apple,33.0,143.0,204.0,92.0,5.8
241,Colorado,Gunnison County,4,127.75,65.875,apple,33.0,143.0,204.0,92.0,5.8
242,Colorado,Hinsdale County,3,165.0,84.0,apple,33.0,143.0,204.0,92.0,5.8
243,Colorado,Huerfano County,8,115.5,61.75,apple,33.0,143.0,204.0,92.0,5.8
244,Colorado,Jackson County,3,127.0,65.0,apple,33.0,143.0,204.0,92.0,5.8
245,Colorado,Jefferson County,8,116.75,62.375,apple,33.0,143.0,204.0,92.0,5.8
246,Colorado,Kiowa County,11,96.5,53.75,apple,33.0,143.0,204.0,92.0,5.8
247,Colorado,Kit Carson County,11,97.25,54.125,apple,33.0,143.0,204.0,92.0,5.8
248,Colorado,Lake County,2,144.75,73.375,apple,33.0,143.0,204.0,92.0,5.8
249,Colorado,La Plata County,8,118.75,63.375,apple,33.0,143.0,204.0,92.0,5.8
250,Colorado,Larimer County,6,125.0,65.5,apple,33.0,143.0,204.0,92.0,5.8
251,Colorado,Las Animas County,11,102.25,56.625,apple,33.0,143.0,204.0,92.0,5.8
252,Colorado,Lincoln County,11,82.5,46.75,apple,33.0,143.0,204.0,92.0,5.8
253,Colorado,Logan County,11,94.0,52.5,apple,33.0,143.0,204.0,92.0,5.8
254,Colorado,Mesa County,9,96.0,52.5,apple,33.0,143.0,204.0,92.0,5.8
255,Colorado,Mineral County,3,165.0,84.0,apple,33.0,143.0,204.0,92.0,5.8
256,Colorado,Moffat County,7,81.25,44.125,apple,33.0,143.0,204.0,92.0,5.8
257,Colorado,Montezuma County,9,90.25,49.625,apple,33.0,143.0,204.0,92.0,5.8
258,Colorado,Montrose County,9,88.25,48.625,apple,33.0,143.0,204.0,92.0,5.8
259,Colorado,Morgan County,10,83.25,46.625,apple,33.0,143.0,204.0,92.0,5.8
260,Colorado,Otero County,12,84.5,48.25,apple,33.0,143.0,204.0,92.0,5.8
261,Colorado,Ouray County,6,124.5,65.25,apple,33.0,143.0,204.0,92.0,5.8
262,Colorado,Park County,3,116.25,59.625,apple,33.0,143.0,204.0,92.0,5.8
263,Colorado,Phillips County,11,114.25,62.625,apple,33.0,143.0,204.0,92.0,5.8
264,Colorado,Pitkin County,3,162.5,82.75,apple,33.0,143.0,204.0,92.0,5.8
265,Colorado,Prowers County,12,106.0,59.0,apple,33.0,143.0,204.0,92.0,5.8
266,Colorado,Pueblo County,11,98.5,54.75,apple,33.0,143.0,204.0,92.0,5.8
267,Colorado,Rio Blanco County,7,103.5,55.25,apple,33.0,143.0,204.0,92.0,5.8
268,Colorado,Rio Grande County,5,83.25,44.125,apple,33.0,143.0,204.0,92.0,5.8
269,Colorado,Routt County,5,127.0,66.0,apple,33.0,143.0,204.0,92.0,5.8
270,Colorado,Saguache County,4,99.0,51.5,apple,33.0,143.0,204.0,92.0,5.8
271,Colorado,San Juan County,2,229.25,115.625,apple,33.0,143.0,204.0,92.0,5.8
272,Colorado,San Miguel County,8,103.5,55.75,apple,33.0,143.0,204.0,92.0,5.8
273,Colorado,Sedgwick County,11,110.5,60.75,apple,33.0,143.0,204.0,92.0,5.8
274,Colorado,Summit County,2,151.25,76.625,apple,33.0,143.0,204.0,92.0,5.8
275,Colorado,Teller County,4,131.5,67.75,apple,33.0,143.0,204.0,92.0,5.8
276,Colorado,Washington County,11,97.25,54.125,apple,33.0,143.0,204.0,92.0,5.8
277,Colorado,Weld County,9,84.5,46.75,apple,33.0,143.0,204.0,92.0,5.8
278,Colorado,Yuma County,11,103.5,57.25,apple,33.0,143.0,204.0,92.0,5.8
279,Connecticut,Fairfield County,12,337.25,174.625,coconut,40.0,22.0,29.0,100.0,5.7
280,Connecticut,Hartford County,11,381.0,196.0,rice,97.0,59.0,43.0,84.0,6.3
281,Connecticut,Litchfield County,9,380.25,194.625,rice,97.0,59.0,43.0,84.0,6.3
282,Connecticut,Middlesex County,11,360.0,185.5,rice,97.0,59.0,43.0,84.0,6.3
283,Connecticut,New Haven County,11,360.0,185.5,rice,97.0,59.0,43.0,84.0,6.3
284,Connecticut,New London County,11,336.0,173.5,coconut,40.0,22.0,29.0,100.0,5.7
285,Connecticut,Tolland County,11,394.25,202.625,rice,97.0,59.0,43.0,84.0,6.3
286,Connecticut,Windham County,11,395.5,203.25,rice,97.0,59.0,43.0,84.0,6.3
287,Delaware,Kent County,14,322.0,168.0,coconut,40.0,22.0,29.0,100.0,5.7
288,Delaware,New Castle County,13,311.25,162.125,coconut,40.0,22.0,29.0,100.0,5.7
289,Delaware,Sussex County,14,333.5,173.75,coconut,40.0,22.0,29.0,100.0,5.7
290,Florida,Alachua County,21,417.25,219.125,rice,97.0,59.0,43.0,84.0,6.3
291,Florida,Baker County,20,383.5,201.75,rice,97.0,59.0,43.0,84.0,6.3
292,Florida,Bay County,21,439.5,230.25,,,,,,
293,Florida,Bradford County,21,412.0,216.5,rice,97.0,59.0,43.0,84.0,6.3
294,Florida,Brevard County,23,286.5,154.75,coconut,40.0,22.0,29.0,100.0,5.7
295,Florida,Broward County,24,350.5,187.25,rice,97.0,59.0,43.0,84.0,6.3
296,Florida,Calhoun County,20,428.0,224.0,,,,,,
297,Florida,Charlotte County,24,326.5,175.25,coconut,40.0,22.0,29.0,100.0,5.7
298,Florida,Citrus County,22,403.25,212.625,rice,97.0,59.0,43.0,84.0,6.3
299,Florida,Clay County,21,395.0,208.0,rice,97.0,59.0,43.0,84.0,6.3
300,Florida,Collier County,24,341.75,182.875,coffee,91.0,21.0,26.0,57.4,7.3
301,Florida,Columbia County,20,393.75,206.875,rice,97.0,59.0,43.0,84.0,6.3
302,Florida,DeSoto County,23,309.25,166.125,coconut,40.0,22.0,29.0,100.0,5.7
303,Florida,Dixie County,21,431.75,226.375,,,,,,
304,Florida,Duval County,21,376.0,198.5,rice,97.0,59.0,43.0,84.0,6.3
305,Florida,Escambia County,19,505.5,262.25,,,,,,
306,Florida,Flagler County,22,324.5,173.25,coconut,40.0,22.0,29.0,100.0,5.7
307,Florida,Franklin County,21,457.75,239.375,,,,,,
308,Florida,Gadsden County,19,413.5,216.25,rice,97.0,59.0,43.0,84.0,6.3
309,Florida,Gilchrist County,21,412.0,216.5,rice,97.0,59.0,43.0,84.0,6.3
310,Florida,Glades County,23,292.75,157.875,coconut,40.0,22.0,29.0,100.0,5.7
311,Florida,Gulf County,21,455.25,238.125,,,,,,
312,Florida,Hamilton County,20,374.75,197.375,rice,97.0,59.0,43.0,84.0,6.3
313,Florida,Hardee County,23,292.75,157.875,coconut,40.0,22.0,29.0,100.0,5.7
